age,are_food_areas_important_to_you,current_status,did_you_find_our_events_value_for_money,do_you_enjoy_adrenaline_rush_activities,favourite_attraction,gender,how_many_hours_are_you_willing_to_travel_to_attend_an_event,how_often_you_attend_entertaining_events_in_a_year,social_media,total_household_income,were_you_satisfied_with_the_last_event_you_attended_with_us,would_you_recommend_our_events_to_other_people
40-49,Entirely agree,Married with children,Somewhat disagree,Entirely disagree,Ice Bar,Female,3 hours,4 Times a Year,Up to 1 hour,"50,000 to 74,999",Somewhat agree,Somewhat Unlikely
60-64,Entirely agree,Married with children,Entirely disagree,Somewhat disagree,Happy Rollercoaster,Male,5 hours,3 Times a Year,Up to 1 hour,"35,000 to 49,999",Mostly agree,Somewhat Likely
50-59,Somewhat agree,Married with children,Entirely disagree,Somewhat disagree,Happy Rollercoaster,Male,5 hours,3 Times a Year,I don't spend any time at all,"75,000 to 99,999",Mostly agree,Mostly Unlikely
50-59,Neither agree nor disagree,Married without children,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Female,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
60-64,Neither agree nor disagree,Married with children,Entirely agree,Mostly disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Entirely agree,Very Unlikely
65 or older,Neither agree nor disagree,Married with children,Somewhat agree,Mostly disagree,Wooden Bar,Male,4 hours,3 Times a Year,Up to 1 hour,"35,000 to 49,999",Mostly agree,Somewhat Unlikely
50-59,Mostly agree,Living with partner,Somewhat agree,Mostly disagree,Ice Bar,Female,4 hours,4 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Mostly Unlikely
33-39,Entirely agree,Married with children,Entirely agree,Mostly disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Entirely agree,Very Unlikely
33-39,Neither agree nor disagree,Divorced,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Female,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
33-39,Mostly agree,Married with children,Somewhat disagree,Somewhat disagree,Ice Bar,Male,6 hours plus,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Neither agree nor disagree,Mostly Unlikely
65 or older,Entirely agree,Married with children,Entirely agree,Neither agree nor disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Entirely agree,Very Unlikely
40-49,Entirely agree,Married without children,Entirely disagree,Somewhat disagree,Happy Rollercoaster,Female,6 hours plus,4 Times a Year,Half a day,"75,000 to 99,999",Mostly disagree,Very Likely
50-59,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Entirely agree,Very Unlikely
65 or older,Somewhat agree,Married with children,Somewhat agree,Entirely disagree,Kids Playground,Male,4 hours,4 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Mostly Unlikely
50-59,Entirely agree,Living with partner,Somewhat agree,Somewhat disagree,Wooden Bar,Female,1 hour,4 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Mostly Unlikely
40-49,Neither agree nor disagree,Married without children,Somewhat disagree,Neither agree nor disagree,Wooden Bar,Male,6 hours plus,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Entirely disagree,Mostly Unlikely
33-39,Somewhat agree,"Single, never married",Somewhat agree,Entirely disagree,Ice Bar,Male,4 hours,3 Times a Year,Up to 1 hour,"150,000 to 199,999",Mostly agree,Somewhat Likely
40-49,Neither agree nor disagree,Separated,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Somewhat agree,Married with children,Mostly disagree,Entirely disagree,Happy Rollercoaster,Male,6 hours plus,3 Times a Year,I don't spend any time at all,"50,000 to 74,999",Neither agree nor disagree,Mostly Unlikely
65 or older,Neither agree nor disagree,Married with children,Mostly agree,Neither agree nor disagree,Happy Rollercoaster,Male,5 hours,2 Times a Year,I don't spend any time at all,"35,000 to 49,999",Mostly agree,Somewhat Likely
50-59,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Female,6 hours plus,3 Times a Year,Up to 1 hour,"200,000 or more",Entirely agree,Very Unlikely
40-49,Mostly agree,Married without children,Neither agree nor disagree,Neither agree nor disagree,Ice Bar,Female,2 hours,3 Times a Year,Up to 2 hours,"75,000 to 99,999",Somewhat agree,Mostly Unlikely
60-64,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"150,000 to 199,999",Entirely agree,Very Unlikely
